DEPT,BIWEEKLY_PAY_PERIOD_END_DATE,HIGH_CONSUMER,Total_Empl
Human Relations Commission    ,7/1/2017,0,3
Human Relations Commission    ,9/23/2017,0,3
Human Relations Commission    ,2/24/2018,0,3
Human Resources,10/10/2015,0,4
Human Resources,6/18/2016,1,2
Human Resources,3/10/2018,1,4
Human Resources,6/29/2019,1,3
Kentuckiana Works Foundation,1/17/2015,0,2
Kentuckiana Works Foundation,2/14/2015,0,2
Kentuckiana Works Foundation,4/25/2015,0,2
Kentuckiana Works Foundation,8/29/2015,0,2
Kentuckiana Works Foundation,3/11/2017,0,1
Kentuckiana Works Foundation,9/9/2017,0,1
Library,9/13/2014,10,69
Library,12/1/2018,11,48
Louisville Metro Council      ,11/23/2013,2,14
Louisville Metro Council      ,1/18/2014,2,14
Louisville Metro Council      ,1/30/2016,3,14
Louisville Metro Council      ,8/13/2016,3,14
Louisville Metro Council      ,11/5/2016,2,14
Louisville Metro Council      ,10/20/2018,1,9
Louisville Metro EMS,3/1/2014,0,6
Louisville Metro EMS,4/12/2014,0,6
Louisville Metro EMS,8/16/2014,0,6
Louisville Metro EMS,6/20/2015,0,5
Louisville Metro EMS,12/5/2015,0,5
Louisville Metro EMS,12/19/2015,0,5
Louisville Metro EMS,4/8/2017,1,4
Mayor's Office                ,10/25/2014,0,5
Mayor's Office                ,12/20/2014,0,5
Mayor's Office                ,2/27/2016,0,6
Mayor's Office                ,11/5/2016,0,6
Mayor's Office                ,1/14/2017,0,6
Mayor's Office                ,7/29/2017,0,6
Mayor's Office                ,11/4/2017,1,5
Mayor's Office                ,10/20/2018,1,5
Metro Animal Services         ,2/14/2015,0,1
Metro Animal Services         ,5/23/2015,0,1
Metro Animal Services         ,2/27/2016,0,1
Metro Animal Services         ,7/29/2017,0,1
Metro Animal Services         ,8/26/2017,0,1
Metro Animal Services         ,6/16/2018,0,1
Metro Parks & Recreation,12/1/2018,6,40
Metro Parks & Recreation,5/18/2019,6,39
Metro Police,10/11/2014,15,215
Metro Police,1/30/2016,22,175
Metro Police,3/11/2017,19,146
Metro Police,12/16/2017,24,115
Metro Police,8/11/2018,21,109
Metro Police,10/20/2018,20,106
OMB ,6/18/2016,5,22
OMB ,12/30/2017,6,18
OMB ,1/27/2018,6,16
OMB ,3/9/2019,7,15
OMB ,6/29/2019,7,15
Parking Authority of River Cty,7/16/2016,1,7
Parking Authority of River Cty,7/30/2016,1,7
Parking Authority of River Cty,9/24/2016,1,7
Parking Authority of River Cty,2/25/2017,1,5
Parking Authority of River Cty,6/3/2017,1,5
Parking Authority of River Cty,4/6/2019,2,5
Parking Authority of River Cty,7/27/2019,2,5
Public Health & Wellness,3/14/2015,0,2
Public Health & Wellness,7/4/2015,0,2
Public Health & Wellness,7/18/2015,0,2
Public Health & Wellness,6/17/2017,1,4
Public Health & Wellness,5/5/2018,1,4
PW&A ,4/22/2017,15,65
PW&A ,7/1/2017,17,61
PW&A ,11/3/2018,13,49
PW&A ,12/1/2018,15,49
PW&A ,5/18/2019,15,47
Waterfront Development Corp,7/5/2014,1,6
Waterfront Development Corp,3/14/2015,2,6
Waterfront Development Corp,1/16/2016,1,6
Waterfront Development Corp,6/17/2017,2,6
Waterfront Development Corp,5/19/2018,1,3
Belle of Louisville           ,9/13/2014,1,2
Belle of Louisville           ,10/10/2015,0,1
Belle of Louisville           ,6/18/2016,0,1
Belle of Louisville           ,8/13/2016,0,1
Civic Innovation & Technology,1/4/2014,4,9
Civic Innovation & Technology,2/14/2015,4,9
Civic Innovation & Technology,4/25/2015,4,9
Civic Innovation & Technology,5/23/2015,4,9
Civic Innovation & Technology,3/12/2016,4,8
Civic Innovation & Technology,8/26/2017,1,6
Civic Innovation & Technology,10/7/2017,1,6
Civic Innovation & Technology,6/16/2018,1,5
Codes & Regulations,9/28/2013,4,25
Codes & Regulations,7/19/2014,5,21
Codes & Regulations,9/27/2014,7,20
Codes & Regulations,10/24/2015,6,23
Codes & Regulations,5/21/2016,5,22
Codes & Regulations,2/24/2018,8,23
Community Services,1/18/2014,3,12
Community Services,7/5/2014,2,12
Community Services,6/17/2017,1,9
Community Services,10/6/2018,2,10
Coroner                       ,10/26/2013,0,5
Coroner                       ,11/19/2016,0,3
Coroner                       ,4/20/2019,0,7
Corrections                   ,2/1/2014,0,1
Corrections                   ,7/4/2015,0,1
Corrections                   ,6/3/2017,0,1
Corrections                   ,7/28/2018,1,2
County Attorney               ,11/22/2014,0,6
County Attorney               ,1/17/2015,0,6
County Attorney               ,2/28/2015,0,6
County Attorney               ,5/9/2015,0,6
County Attorney               ,8/15/2015,0,4
County Attorney               ,10/8/2016,0,4
County Attorney               ,11/17/2018,0,4
County Attorney               ,8/10/2019,0,3
Develop Louisville,10/26/2013,3,16
Develop Louisville,11/23/2013,4,16
Develop Louisville,10/10/2015,2,12
Develop Louisville,12/16/2017,1,6
Economic Development ,7/18/2015,0,3
Economic Development ,7/16/2016,0,2
Economic Development ,11/18/2017,0,2
Economic Development ,4/20/2019,0,1
Emergency Mgt Agency/MetroSafe,6/7/2014,5,23
Emergency Mgt Agency/MetroSafe,1/2/2016,3,19
Emergency Mgt Agency/MetroSafe,4/9/2016,4,20
Emergency Mgt Agency/MetroSafe,10/22/2016,3,17
Emergency Mgt Agency/MetroSafe,8/25/2018,2,13
Fire & Rescue                 ,11/22/2014,18,144
Fire & Rescue                 ,8/15/2015,15,120
Fire & Rescue                 ,10/8/2016,16,95
Fire & Rescue                 ,12/17/2016,17,94
Fire & Rescue                 ,11/18/2017,14,74
Fire & Rescue                 ,8/10/2019,5,58
Fleet & Facilities,1/30/2016,11,28
Fleet & Facilities,3/11/2017,15,28
Human Relations Commission    ,11/8/2014,1,5
Human Relations Commission    ,9/26/2015,1,5
Human Relations Commission    ,12/31/2016,0,3
Human Relations Commission    ,2/11/2017,0,3
Human Relations Commission    ,4/7/2018,0,3
Human Relations Commission    ,5/18/2019,0,3
Human Resources,12/16/2017,0,4
Kentuckiana Works Foundation,6/16/2018,0,1
Library,1/18/2014,13,72
Library,6/7/2014,13,72
Library,9/12/2015,10,61
Library,7/2/2016,10,58
Library,6/3/2017,5,54
Library,5/4/2019,6,45
Library,6/1/2019,9,45
Louisville Metro Council      ,9/26/2015,3,14
Louisville Metro Council      ,10/10/2015,3,14
Louisville Metro Council      ,2/27/2016,3,14
Louisville Metro Council      ,3/26/2016,3,14
Louisville Metro Council      ,7/29/2017,2,13
Louisville Metro Council      ,1/26/2019,0,7
Louisville Metro EMS,7/5/2014,0,6
Louisville Metro EMS,7/18/2015,0,5
Louisville Metro EMS,3/25/2017,1,4
Louisville Metro EMS,6/17/2017,1,4
Mayor's Office                ,9/14/2013,1,5
Mayor's Office                ,11/23/2013,1,5
Mayor's Office                ,8/30/2014,0,5
Mayor's Office                ,11/19/2016,0,6
Mayor's Office                ,12/3/2016,0,6
Mayor's Office                ,11/17/2018,1,5
Metro Animal Services         ,10/11/2014,0,1
Metro Animal Services         ,1/30/2016,0,1
Metro Animal Services         ,3/11/2017,0,1
Metro Animal Services         ,12/16/2017,0,1
Metro Animal Services         ,8/11/2018,0,1
Metro Animal Services         ,10/20/2018,0,1
Metro Parks & Recreation,12/6/2014,17,68
Metro Parks & Recreation,7/2/2016,15,60
Metro Parks & Recreation,7/1/2017,9,53
Metro Parks & Recreation,10/6/2018,7,42
Metro Parks & Recreation,6/1/2019,6,40
Metro Parks & Recreation,6/15/2019,4,37
Metro Police,10/26/2013,20,245
Metro Police,1/4/2014,15,240
Metro Police,2/14/2015,16,206
Metro Police,5/23/2015,22,200
Metro Police,3/12/2016,21,169
Metro Police,8/26/2017,19,125
Metro Police,6/16/2018,27,111
OMB ,6/21/2014,6,25
OMB ,8/2/2014,7,25
OMB ,7/2/2016,6,22
OMB ,3/24/2018,6,15
OMB ,7/14/2018,6,16
OMB ,12/15/2018,7,16
Parking Authority of River Cty,11/9/2013,1,9
Parking Authority of River Cty,5/10/2014,2,9
Parking Authority of River Cty,4/21/2018,1,4
Parking Authority of River Cty,7/28/2018,1,4
Parking Authority of River Cty,11/3/2018,2,4
Public Health & Wellness,6/20/2015,0,2
Public Health & Wellness,8/1/2015,0,2
Public Health & Wellness,12/5/2015,0,3
Public Health & Wellness,9/24/2016,0,3
Public Health & Wellness,9/22/2018,1,3
Public Health & Wellness,12/15/2018,1,3
Belle of Louisville           ,12/7/2013,0,1
Belle of Louisville           ,11/8/2014,0,1
Belle of Louisville           ,5/9/2015,0,2
Belle of Louisville           ,5/20/2017,0,1
Civic Innovation & Technology,3/15/2014,4,9
Civic Innovation & Technology,6/4/2016,4,8
Civic Innovation & Technology,8/25/2018,1,5
Civic Innovation & Technology,8/10/2019,1,4
Codes & Regulations,8/15/2015,6,22
Codes & Regulations,9/26/2015,6,23
Codes & Regulations,10/10/2015,6,22
Codes & Regulations,10/8/2016,7,22
Codes & Regulations,2/11/2017,8,22
Codes & Regulations,6/30/2018,10,21
Codes & Regulations,2/23/2019,7,21
Community Services,4/26/2014,3,12
Community Services,8/2/2014,2,12
Community Services,7/18/2015,2,11
Community Services,8/1/2015,2,11
Community Services,11/7/2015,2,10
Community Services,3/24/2018,3,9
Community Services,9/8/2018,2,10
Coroner                       ,3/1/2014,0,5
Coroner                       ,5/7/2016,0,2
Coroner                       ,5/20/2017,0,4
Coroner                       ,12/30/2017,0,6
Coroner                       ,1/13/2018,0,6
Coroner                       ,10/20/2018,0,6
Coroner                       ,11/17/2018,0,6
Corrections                   ,8/16/2014,0,1
Corrections                   ,8/27/2016,0,1
Corrections                   ,12/3/2016,0,1
Corrections                   ,5/18/2019,0,2
County Attorney               ,9/28/2013,0,7
County Attorney               ,5/23/2015,0,6
County Attorney               ,8/26/2017,0,3
Develop Louisville,7/19/2014,6,16
Develop Louisville,1/3/2015,4,12
Develop Louisville,1/17/2015,3,12
Develop Louisville,1/30/2016,4,11
Develop Louisville,5/20/2017,2,8
Develop Louisville,9/23/2017,1,6
Develop Louisville,11/17/2018,4,6
Economic Development ,3/14/2015,0,3
Economic Development ,12/3/2016,0,2
Economic Development ,10/6/2018,0,1
Emergency Mgt Agency/MetroSafe,9/9/2017,1,16
Emergency Mgt Agency/MetroSafe,4/21/2018,1,13
Emergency Mgt Agency/MetroSafe,11/3/2018,2,13
Emergency Mgt Agency/MetroSafe,12/15/2018,1,12
Fire & Rescue                 ,10/11/2014,20,147
Fire & Rescue                 ,9/9/2017,15,80
Fleet & Facilities,5/9/2015,8,29
Fleet & Facilities,8/13/2016,12,29
Fleet & Facilities,9/10/2016,12,29
Fleet & Facilities,8/12/2017,8,25
Human Relations Commission    ,12/7/2013,0,4
Human Relations Commission    ,2/28/2015,0,5
Human Relations Commission    ,8/29/2015,0,5
Human Relations Commission    ,10/20/2018,0,3
Human Resources,5/24/2014,0,6
Human Resources,1/30/2016,0,4
Human Resources,2/23/2019,1,4
Kentuckiana Works Foundation,1/2/2016,0,1
Kentuckiana Works Foundation,10/21/2017,0,1
Kentuckiana Works Foundation,6/15/2019,0,2
Library,3/1/2014,14,72
Library,10/25/2014,10,69
Library,12/6/2014,9,69
Library,1/16/2016,12,60
Library,5/7/2016,10,60
Library,11/5/2016,10,57
Library,1/14/2017,8,53
Library,5/6/2017,6,54
Library,11/4/2017,3,52
Library,12/15/2018,10,48
Louisville Metro Council      ,12/21/2013,2,14
Louisville Metro Council      ,7/19/2014,2,13
Louisville Metro Council      ,9/27/2014,2,13
Louisville Metro Council      ,1/3/2015,2,13
Louisville Metro Council      ,10/24/2015,2,15
Louisville Metro Council      ,5/21/2016,3,14
Louisville Metro Council      ,5/20/2017,1,12
Louisville Metro Council      ,11/17/2018,1,9
Louisville Metro Council      ,6/29/2019,1,8
Louisville Metro EMS,4/26/2014,0,6
Louisville Metro EMS,8/2/2014,0,6
Louisville Metro EMS,8/30/2014,0,6
Louisville Metro EMS,6/6/2015,0,5
Louisville Metro EMS,8/1/2015,0,5
Louisville Metro EMS,2/13/2016,0,5
Louisville Metro EMS,3/24/2018,0,4
Louisville Metro EMS,9/8/2018,0,4
Mayor's Office                ,10/12/2013,1,5
Mayor's Office                ,2/15/2014,1,5
Mayor's Office                ,4/11/2015,1,4
Mayor's Office                ,8/1/2015,0,4
Mayor's Office                ,2/13/2016,0,6
Metro Animal Services         ,10/26/2013,0,1
Metro Animal Services         ,11/22/2014,0,1
Metro Animal Services         ,6/2/2018,0,1
Metro Parks & Recreation,12/19/2015,19,65
Metro Parks & Recreation,7/16/2016,15,61
Metro Parks & Recreation,7/30/2016,14,58
Metro Parks & Recreation,7/15/2017,10,54
Metro Parks & Recreation,8/25/2018,7,42
Metro Parks & Recreation,4/6/2019,7,40
Metro Police,3/9/2019,17,99
OMB ,1/18/2014,8,27
OMB ,4/26/2014,6,27
OMB ,8/30/2014,5,24
OMB ,12/20/2014,8,24
OMB ,6/6/2015,6,22
OMB ,6/20/2015,5,23
OMB ,12/5/2015,4,23
OMB ,1/28/2017,6,19
OMB ,9/8/2018,7,16
OMB ,12/29/2018,7,16
Parking Authority of River Cty,10/25/2014,2,9
Parking Authority of River Cty,1/2/2016,2,8
Parking Authority of River Cty,10/22/2016,1,7
Parking Authority of River Cty,11/18/2017,1,5
Parking Authority of River Cty,5/19/2018,1,4
Public Health & Wellness,2/1/2014,0,2
Public Health & Wellness,7/5/2014,0,2
Public Health & Wellness,12/3/2016,0,3
Public Health & Wellness,12/1/2018,1,3
PW&A ,3/14/2015,18,81
Belle of Louisville           ,8/2/2014,0,2
Belle of Louisville           ,1/31/2015,0,1
Belle of Louisville           ,6/6/2015,0,3
Belle of Louisville           ,9/12/2015,0,2
Belle of Louisville           ,9/8/2018,0,1
Civic Innovation & Technology,1/2/2016,3,8
Civic Innovation & Technology,10/22/2016,2,6
Civic Innovation & Technology,6/30/2018,1,5
Civic Innovation & Technology,9/22/2018,1,5
Civic Innovation & Technology,2/23/2019,1,4
Codes & Regulations,3/15/2014,5,22
Codes & Regulations,6/4/2016,5,21
Community Services,5/7/2016,1,8
Community Services,8/27/2016,2,8
Community Services,11/3/2018,2,10
Community Services,6/29/2019,2,8
Coroner                       ,1/18/2014,0,5
Coroner                       ,5/24/2014,0,5
Coroner                       ,6/20/2015,0,4
Coroner                       ,12/5/2015,0,4
Coroner                       ,1/30/2016,0,3
Corrections                   ,8/15/2015,0,1
Corrections                   ,10/8/2016,0,1
Corrections                   ,12/30/2017,0,1
Corrections                   ,5/19/2018,1,2
Corrections                   ,1/12/2019,1,2
County Attorney               ,10/26/2013,0,7
County Attorney               ,5/10/2014,0,7
County Attorney               ,10/10/2015,0,4
County Attorney               ,12/16/2017,0,3
County Attorney               ,7/28/2018,0,4
Develop Louisville,1/18/2014,7,16
Develop Louisville,11/8/2014,5,14
Develop Louisville,10/8/2016,2,11
Develop Louisville,2/11/2017,2,9
Develop Louisville,2/24/2018,4,7
Economic Development ,2/14/2015,1,4
Economic Development ,12/19/2015,0,2
Economic Development ,4/22/2017,0,2
Economic Development ,9/9/2017,0,2
Economic Development ,8/25/2018,0,1
Economic Development ,7/27/2019,0,1
Emergency Mgt Agency/MetroSafe,7/5/2014,3,23
Emergency Mgt Agency/MetroSafe,4/25/2015,3,22
Emergency Mgt Agency/MetroSafe,7/18/2015,5,21
Fire & Rescue                 ,12/16/2017,14,74
Fire & Rescue                 ,2/10/2018,11,69
Fire & Rescue                 ,3/10/2018,9,69
Fire & Rescue                 ,7/28/2018,10,70
Fire & Rescue                 ,2/9/2019,4,57
Fire & Rescue                 ,6/15/2019,7,58
Fleet & Facilities,10/26/2013,6,30
Fleet & Facilities,1/4/2014,8,30
Fleet & Facilities,3/12/2016,12,28
Fleet & Facilities,5/21/2016,12,29
Fleet & Facilities,10/21/2017,6,23
Human Relations Commission    ,5/24/2014,1,5
Human Relations Commission    ,12/16/2017,0,3
Human Relations Commission    ,2/10/2018,0,3
Human Relations Commission    ,3/10/2018,0,3
Human Relations Commission    ,7/28/2018,0,3
Human Relations Commission    ,6/15/2019,0,3
Human Relations Commission    ,6/29/2019,0,3
Human Resources,3/1/2014,1,6
Human Resources,11/8/2014,1,5
Human Resources,2/11/2017,0,3
Kentuckiana Works Foundation,12/7/2013,0,2
Kentuckiana Works Foundation,3/15/2014,0,2
Kentuckiana Works Foundation,8/27/2016,0,1
Kentuckiana Works Foundation,8/25/2018,0,2
Library,4/26/2014,13,72
Library,8/2/2014,12,71
Library,12/20/2014,9,69
Library,6/6/2015,11,66
Library,3/24/2018,10,50
Library,7/14/2018,11,49
Library,9/8/2018,11,49
Louisville Metro Council      ,9/28/2013,3,15
Louisville Metro Council      ,8/29/2015,2,15
Louisville Metro Council      ,11/21/2015,3,14
Louisville Metro Council      ,4/9/2016,3,14
Louisville Metro Council      ,2/24/2018,1,10
Louisville Metro EMS,6/7/2014,0,6
Louisville Metro EMS,1/3/2015,0,6
Louisville Metro EMS,3/26/2016,0,5
Louisville Metro EMS,5/7/2016,0,5
Louisville Metro EMS,8/27/2016,0,5
Louisville Metro EMS,4/21/2018,0,4
Louisville Metro EMS,11/17/2018,0,4
Louisville Metro EMS,6/29/2019,0,4
Mayor's Office                ,2/1/2014,1,5
Mayor's Office                ,9/13/2014,0,5
Mayor's Office                ,12/1/2018,1,5
Metro Animal Services         ,3/29/2014,0,1
Metro Animal Services         ,11/8/2014,0,1
Metro Animal Services         ,9/26/2015,0,1
Metro Animal Services         ,1/28/2017,0,1
Metro Animal Services         ,4/7/2018,0,1
Metro Parks & Recreation,5/10/2014,18,81
Metro Parks & Recreation,12/20/2014,17,68
Metro Parks & Recreation,12/29/2018,6,39
Metro Police,8/29/2015,20,188
Metro Police,9/9/2017,20,125
OMB ,3/1/2014,7,27
OMB ,6/7/2014,6,25
OMB ,5/6/2017,6,18
OMB ,9/23/2017,5,19
OMB ,6/2/2018,6,16
OMB ,11/17/2018,7,16
OMB ,5/4/2019,7,15
Parking Authority of River Cty,6/17/2017,1,5
Parking Authority of River Cty,10/6/2018,2,4
Parking Authority of River Cty,6/1/2019,2,5
Parking Authority of River Cty,8/10/2019,2,5
Public Health & Wellness,2/15/2014,0,2
Public Health & Wellness,10/25/2014,0,2
Public Health & Wellness,1/16/2016,0,3
Public Health & Wellness,11/19/2016,0,3
Public Health & Wellness,2/25/2017,0,3
Public Health & Wellness,10/7/2017,1,3
Public Health & Wellness,5/19/2018,1,3
PW&A ,4/12/2014,24,88
PW&A ,3/26/2016,29,73
PW&A ,1/14/2017,20,67
PW&A ,4/8/2017,15,65
PW&A ,4/21/2018,17,54
PW&A ,1/26/2019,15,48
Waterfront Development Corp,9/14/2013,1,6
Belle of Louisville           ,1/3/2015,0,1
Civic Innovation & Technology,7/19/2014,4,9
Civic Innovation & Technology,1/31/2015,4,9
Civic Innovation & Technology,6/18/2016,4,8
Civic Innovation & Technology,10/21/2017,1,6
Civic Innovation & Technology,2/24/2018,1,6
Civic Innovation & Technology,12/1/2018,1,5
Codes & Regulations,1/3/2015,5,20
Codes & Regulations,1/30/2016,6,22
Codes & Regulations,2/13/2016,6,22
Codes & Regulations,7/29/2017,6,23
Community Services,1/3/2015,3,11
Community Services,1/17/2015,2,11
Community Services,1/30/2016,1,9
Community Services,7/29/2017,1,9
Community Services,10/7/2017,2,9
Coroner                       ,4/12/2014,0,5
Coroner                       ,7/19/2014,0,5
Coroner                       ,4/8/2017,0,4
Coroner                       ,6/3/2017,0,4
Coroner                       ,10/21/2017,0,5
Coroner                       ,3/10/2018,0,6
Coroner                       ,6/1/2019,0,7
Coroner                       ,7/27/2019,0,7
Corrections                   ,9/14/2013,0,1
Corrections                   ,11/23/2013,0,1
Corrections                   ,2/15/2014,0,1
Corrections                   ,5/23/2015,0,1
Corrections                   ,1/26/2019,1,2
Corrections                   ,5/4/2019,0,2
Corrections                   ,6/15/2019,0,2
County Attorney               ,6/7/2014,0,7
County Attorney               ,4/22/2017,0,3
County Attorney               ,12/2/2017,0,3
Develop Louisville,8/15/2015,3,12
Develop Louisville,4/9/2016,3,11
Develop Louisville,5/7/2016,3,11
Develop Louisville,3/24/2018,4,7
Develop Louisville,4/20/2019,2,5
Economic Development ,10/12/2013,0,6
Economic Development ,3/26/2016,0,2
Economic Development ,11/5/2016,0,2
Economic Development ,1/28/2017,0,2
Economic Development ,12/2/2017,0,2
Economic Development ,12/29/2018,0,1
Economic Development ,5/4/2019,0,1
Emergency Mgt Agency/MetroSafe,12/21/2013,5,24
Emergency Mgt Agency/MetroSafe,4/26/2014,6,23
Emergency Mgt Agency/MetroSafe,3/12/2016,4,20
Emergency Mgt Agency/MetroSafe,11/17/2018,1,12
Fire & Rescue                 ,7/5/2014,22,156
Fire & Rescue                 ,1/31/2015,20,142
Fire & Rescue                 ,12/1/2018,4,59
Fleet & Facilities,3/15/2014,9,30
Fleet & Facilities,4/26/2014,10,29
Fleet & Facilities,10/7/2017,6,24
Fleet & Facilities,7/14/2018,4,21
Fleet & Facilities,11/17/2018,5,21
Human Relations Commission    ,5/10/2014,1,5
Human Relations Commission    ,4/25/2015,0,5
Human Relations Commission    ,8/12/2017,0,3
Human Relations Commission    ,9/9/2017,0,3
Human Resources,4/26/2014,0,6
Human Resources,6/4/2016,1,4
Human Resources,12/17/2016,1,3
Human Resources,10/7/2017,0,4
Kentuckiana Works Foundation,9/28/2013,0,2
Kentuckiana Works Foundation,7/19/2014,0,2
Kentuckiana Works Foundation,6/29/2019,0,2
Library,1/17/2015,12,66
Library,2/28/2015,12,67
Library,7/4/2015,12,66
Library,8/29/2015,9,61
Library,8/12/2017,6,55
Library,10/7/2017,3,52
Library,11/18/2017,3,52
Louisville Metro Council      ,5/24/2014,3,14
Louisville Metro Council      ,6/4/2016,3,14
Louisville Metro Council      ,9/24/2016,2,14
Louisville Metro Council      ,12/17/2016,3,14
Louisville Metro EMS,1/17/2015,0,5
Louisville Metro EMS,1/31/2015,0,5
Louisville Metro EMS,1/30/2016,0,5
Louisville Metro EMS,7/29/2017,1,4
Louisville Metro EMS,2/23/2019,0,4
Mayor's Office                ,9/28/2013,1,5
Mayor's Office                ,12/7/2013,1,5
Mayor's Office                ,8/16/2014,0,5
Mayor's Office                ,9/27/2014,0,5
Mayor's Office                ,6/18/2016,0,6
Mayor's Office                ,9/22/2018,1,5
Mayor's Office                ,1/12/2019,1,5
Mayor's Office                ,7/27/2019,1,5
Metro Animal Services         ,12/5/2015,0,1
Metro Animal Services         ,12/30/2017,0,1
Metro Animal Services         ,7/14/2018,0,1
Metro Parks & Recreation,2/1/2014,17,77
Metro Parks & Recreation,3/28/2015,15,66
Metro Parks & Recreation,11/21/2015,19,66
Metro Parks & Recreation,6/4/2016,15,59
Metro Parks & Recreation,12/17/2016,12,55
Metro Police,9/28/2013,20,248
OMB ,1/17/2015,7,23
OMB ,8/29/2015,6,23
OMB ,12/3/2016,7,19
OMB ,12/16/2017,6,18
OMB ,2/23/2019,7,15
Parking Authority of River Cty,9/14/2013,3,9
Parking Authority of River Cty,1/18/2014,0,9
Parking Authority of River Cty,2/15/2014,0,9
Parking Authority of River Cty,10/11/2014,2,9
Parking Authority of River Cty,11/5/2016,1,6
Parking Authority of River Cty,3/11/2017,1,5
Parking Authority of River Cty,8/26/2017,2,5
Parking Authority of River Cty,8/11/2018,1,4
Public Health & Wellness,10/12/2013,0,2
Public Health & Wellness,12/21/2013,0,2
Public Health & Wellness,1/28/2017,0,3
Public Health & Wellness,12/2/2017,1,3
Public Health & Wellness,1/13/2018,1,4
Public Health & Wellness,10/6/2018,1,4
Public Health & Wellness,12/29/2018,1,3
PW&A ,1/3/2015,22,85
PW&A ,2/14/2015,16,82
PW&A ,2/13/2016,29,73
PW&A ,11/19/2016,22,69
Belle of Louisville           ,1/4/2014,0,1
Belle of Louisville           ,3/28/2015,0,1
Civic Innovation & Technology,6/21/2014,4,9
Civic Innovation & Technology,7/5/2014,4,9
Civic Innovation & Technology,5/21/2016,4,8
Civic Innovation & Technology,8/13/2016,3,8
Civic Innovation & Technology,9/10/2016,3,8
Civic Innovation & Technology,10/6/2018,1,5
Codes & Regulations,9/9/2017,6,22
Codes & Regulations,2/9/2019,8,19
Community Services,8/31/2013,5,16
Community Services,3/1/2014,3,12
Community Services,8/30/2014,2,12
Community Services,6/6/2015,1,11
Community Services,9/9/2017,1,9
Community Services,2/9/2019,2,9
Coroner                       ,6/21/2014,0,5
Coroner                       ,7/5/2014,0,5
Coroner                       ,7/2/2016,0,2
Coroner                       ,8/13/2016,0,2
Coroner                       ,9/10/2016,0,2
Coroner                       ,11/3/2018,0,6
Coroner                       ,12/15/2018,0,7
Corrections                   ,10/12/2013,0,1
Corrections                   ,1/2/2016,0,1
Corrections                   ,3/26/2016,0,1
Corrections                   ,11/19/2016,0,1
Corrections                   ,8/26/2017,0,1
County Attorney               ,9/12/2015,0,4
County Attorney               ,4/7/2018,0,3
County Attorney               ,10/6/2018,0,4
County Attorney               ,1/26/2019,0,4
County Attorney               ,6/29/2019,0,3
Develop Louisville,12/7/2013,4,16
Develop Louisville,4/26/2014,7,16
Develop Louisville,5/10/2014,6,16
Develop Louisville,12/17/2016,2,10
Develop Louisville,6/3/2017,2,8
Develop Louisville,6/17/2017,1,8
Develop Louisville,10/21/2017,0,6
Develop Louisville,7/14/2018,4,7
Develop Louisville,7/13/2019,2,5
Develop Louisville,7/27/2019,2,5
Economic Development ,1/18/2014,3,5
Economic Development ,1/26/2019,0,1
Emergency Mgt Agency/MetroSafe,8/2/2014,3,23
Emergency Mgt Agency/MetroSafe,8/30/2014,4,22
Emergency Mgt Agency/MetroSafe,6/6/2015,3,22
Emergency Mgt Agency/MetroSafe,8/1/2015,5,21
Emergency Mgt Agency/MetroSafe,8/15/2015,5,20
Emergency Mgt Agency/MetroSafe,10/8/2016,3,18
Emergency Mgt Agency/MetroSafe,3/24/2018,0,13
Emergency Mgt Agency/MetroSafe,9/8/2018,2,13
Emergency Mgt Agency/MetroSafe,8/10/2019,2,12
Fire & Rescue                 ,4/12/2014,21,157
Fire & Rescue                 ,9/26/2015,17,120
Fire & Rescue                 ,10/10/2015,17,120
Fire & Rescue                 ,11/7/2015,17,118
Fire & Rescue                 ,12/31/2016,16,94
Fire & Rescue                 ,4/8/2017,18,89
Fire & Rescue                 ,6/30/2018,10,70
Fleet & Facilities,8/31/2013,7,30
Fleet & Facilities,3/1/2014,8,30
Fleet & Facilities,8/2/2014,8,29
Fleet & Facilities,8/30/2014,9,29
Fleet & Facilities,6/6/2015,10,29
Fleet & Facilities,8/15/2015,8,28
Fleet & Facilities,12/5/2015,11,28
Fleet & Facilities,3/24/2018,6,23
Fleet & Facilities,9/8/2018,4,21
Fleet & Facilities,8/10/2019,5,19
Human Relations Commission    ,8/27/2016,0,3
Human Relations Commission    ,7/13/2019,0,3
Human Resources,4/9/2016,1,3
Human Resources,4/20/2019,1,4
Kentuckiana Works Foundation,8/16/2014,0,2
Kentuckiana Works Foundation,6/18/2016,0,1
Kentuckiana Works Foundation,9/23/2017,0,1
Kentuckiana Works Foundation,2/24/2018,0,1
Kentuckiana Works Foundation,9/22/2018,0,2
Kentuckiana Works Foundation,1/12/2019,0,2
Kentuckiana Works Foundation,3/9/2019,0,2
Library,8/31/2013,17,76
Library,8/30/2014,11,69
Library,5/5/2018,11,50
Library,6/2/2018,11,50
Louisville Metro Council      ,3/15/2014,2,14
Louisville Metro Council      ,7/18/2015,2,15
Louisville Metro Council      ,8/1/2015,2,15
Louisville Metro Council      ,8/15/2015,2,15
Louisville Metro Council      ,10/8/2016,2,14
Louisville Metro Council      ,4/21/2018,1,9
Louisville Metro Council      ,11/3/2018,1,9
Louisville Metro Council      ,8/10/2019,1,8
Louisville Metro EMS,11/7/2015,0,5
Louisville Metro EMS,9/9/2017,0,3
Louisville Metro EMS,2/9/2019,0,4
