MONTH_END_DATE,DEPT,REG_TEMP,AGE_GROUP_AT_DEPARTURE,ETHNIC_GROUP,GENDER,YEARS_IN_METRO,REASON,LEAVE_TYPE,EMP_LEFT,DEPT_EMP_LEFT,REG_TEMP_DEPT_TOTAL_EMP,DEPT_TOTAL_EMP,METRO_EMP_LEFT,REG_TEMP_METRO_TOTAL_EMP,METRO_TOTAL_EMP,MONTH,YEAR
1/31/2016,Metro Police,R,30 to 44 years,WHITE,M,Over 20,Normal Retirement             ,Retired,2,12,81,81,61,404,410,January,2016
1/31/2016,Metro Police,R,60 to 74 years,WHITE,M,Over 20,Normal Retirement             ,Retired,1,12,81,81,61,404,410,January,2016
3/31/2016,Community Services,NULL,20 to 29 years,UNKNOWN,M,Under 1 year,Resignation                   ,Voluntary,1,6,NULL,NULL,NULL,NULL,NULL,March,2016
3/31/2016,Community Services,NULL,30 to 44 years,UNKNOWN,F,1 to 4.9 years,End Temporary Employment      ,Temp/Seasonal,1,6,NULL,NULL,NULL,NULL,NULL,March,2016
3/31/2016,Youth Detention Services      ,R,30 to 44 years,UNKNOWN,M,Under 1 year,Resignation                   ,Voluntary,1,2,2,2,68,400,404,March,2016
4/30/2016,Community Services,R,30 to 44 years,UNKNOWN,M,1 to 4.9 years,Resignation                   ,Voluntary,1,8,3,3,92,401,409,April,2016
4/30/2016,Human Resources,R,20 to 29 years,WHITE,F,1 to 4.9 years,Resignation                   ,Voluntary,1,3,3,3,92,401,409,April,2016
4/30/2016,Library,R,Under 20,UNKNOWN,F,Under 1 year,Resignation                   ,Voluntary,1,3,29,31,92,401,409,April,2016
4/30/2016,Louisville Metro EMS,R,20 to 29 years,WHITE,M,1 to 4.9 years,Resignation                   ,Voluntary,1,5,4,4,92,401,409,April,2016
4/30/2016,Metro Parks & Recreation,R,60 to 74 years,WHITE,M,5 to 9.9 years,Resignation                   ,Voluntary,1,13,36,39,92,401,409,April,2016
4/30/2016,Metro Parks & Recreation,T,20 to 29 years,WHITE,M,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,1,13,3,39,92,8,409,April,2016
4/30/2016,Metro Police,R,30 to 44 years,BLACK,M,10 to 14.9 years,Resignation                   ,Voluntary,1,15,79,79,92,401,409,April,2016
5/31/2016,Develop Louisville,R,60 to 74 years,WHITE,M,5 to 9.9 years,Resignation                   ,Voluntary,1,3,8,8,77,396,405,May,2016
5/31/2016,Economic Development ,R,20 to 29 years,UNKNOWN,M,Under 1 year,Dismissed during Probation,Involuntary,1,2,2,2,77,396,405,May,2016
5/31/2016,Metro Parks & Recreation,T,Under 20,WHITE,F,Under 1 year,End Seasonal Employment,Temp/Seasonal,1,13,3,38,77,9,405,May,2016
6/30/2016,Civic Innovation & Technology,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,7,7,84,395,404,June,2016
6/30/2016,Corrections                   ,NULL,45 to 59 years,WHITE,M,Over 20,Normal Retirement             ,Retired,4,12,NULL,NULL,NULL,NULL,NULL,June,2016
6/30/2016,Louisville Metro Council      ,NULL,20 to 29 years,UNKNOWN,F,Under 1 year,Resignation                   ,Voluntary,1,1,NULL,NULL,NULL,NULL,NULL,June,2016
6/30/2016,Metro Parks & Recreation,T,Under 20,BLACK,F,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,1,13,3,38,84,9,404,June,2016
6/30/2016,Zoo,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,24,27,84,395,404,June,2016
6/30/2016,Zoo,T,Under 20,WHITE,M,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,1,7,3,27,84,9,404,June,2016
7/31/2016,Emergency Mgt Agency/MetroSafe,R,30 to 44 years,WHITE,F,1 to 4.9 years,Resignation                   ,Voluntary,1,4,14,14,176,397,407,July,2016
5/31/2016,Zoo,T,20 to 29 years,WHITE,M,1 to 4.9 years,Resignation                   ,Voluntary,1,5,3,27,77,9,405,May,2016
7/31/2016,Belle of Louisville           ,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,1,176,397,407,July,2016
7/31/2016,Corrections                   ,NULL,30 to 44 years,UNKNOWN,M,Under 1 year,Resignation                   ,Voluntary,1,9,NULL,NULL,NULL,NULL,NULL,July,2016
7/31/2016,Corrections                   ,NULL,30 to 44 years,WHITE,M,Over 20,Normal Retirement             ,Retired,1,9,NULL,NULL,NULL,NULL,NULL,July,2016
7/31/2016,Louisville Metro EMS,R,30 to 44 years,UNKNOWN,F,Under 1 year,Resignation - DO NOT REHIRE,Voluntary,1,9,4,4,176,397,407,July,2016
7/31/2016,Metro Parks & Recreation,T,Under 20,WHITE,F,Under 1 year,End Seasonal Employment,Temp/Seasonal,1,65,3,38,176,10,407,July,2016
8/31/2016,Emergency Mgt Agency/MetroSafe,R,20 to 29 years,UNKNOWN,F,Under 1 year,Resignation                   ,Voluntary,1,6,14,14,175,377,385,August,2016
8/31/2016,OMB ,R,60 to 74 years,WHITE,F,5 to 9.9 years,Normal Retirement             ,Retired,1,4,13,13,175,377,385,August,2016
10/31/2016,Emergency Mgt Agency/MetroSafe,R,45 to 59 years,BLACK,F,Over 20,Normal Retirement             ,Retired,1,1,11,11,176,368,375,October,2016
10/31/2016,Fire & Rescue,R,45 to 59 years,WHITE,M,15 to 19.9 years,Unable To Accommodate,Involuntary,1,1,54,54,176,368,375,October,2016
10/31/2016,Metro Parks & Recreation,NULL,20 to 29 years,WHITE,F,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,2,33,NULL,NULL,NULL,NULL,NULL,October,2016
10/31/2016,Metro Parks & Recreation,NULL,30 to 44 years,UNKNOWN,F,Under 1 year,End Seasonal Employment,Temp/Seasonal,1,33,NULL,NULL,NULL,NULL,NULL,October,2016
10/31/2016,Zoo,T,20 to 29 years,UNKNOWN,F,Under 1 year,End Seasonal Employment,Temp/Seasonal,11,71,4,26,176,7,375,October,2016
10/31/2016,Zoo,T,Under 20,UNKNOWN,F,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,3,71,4,26,176,7,375,October,2016
11/30/2016,Fleet & Facilities,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,18,18,128,364,374,November,2016
11/30/2016,Zoo,T,20 to 29 years,ASIAN,M,5 to 9.9 years,End Seasonal Employment,Temp/Seasonal,1,48,5,27,128,10,374,November,2016
11/30/2016,Zoo,T,45 to 59 years,WHITE,F,1 to 4.9 years,Resignation                   ,Voluntary,1,48,5,27,128,10,374,November,2016
12/31/2016,Corrections                   ,NULL,45 to 59 years,WHITE,M,10 to 14.9 years,Resignation                   ,Voluntary,1,5,NULL,NULL,NULL,NULL,NULL,December,2016
12/31/2016,Louisville Metro Council      ,R,30 to 44 years,BLACK,F,1 to 4.9 years,Administration Change         ,Involuntary,1,6,11,11,96,363,371,December,2016
12/31/2016,Louisville Metro Council      ,R,60 to 74 years,WHITE,F,15 to 19.9 years,Normal Retirement             ,Retired,1,6,11,11,96,363,371,December,2016
12/31/2016,Metro Parks & Recreation,R,45 to 59 years,BLACK,F,5 to 9.9 years,Resignation                   ,Voluntary,1,21,32,33,96,363,371,December,2016
12/31/2016,Metro Parks & Recreation,R,45 to 59 years,UNKNOWN,F,Under 1 year,Dismissed during Probation,Involuntary,1,21,32,33,96,363,371,December,2016
12/31/2016,Metro Parks & Recreation,T,Over 74,WHITE,M,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,1,21,1,33,96,8,371,December,2016
12/31/2016,Office of Performance Improvmt,NULL,30 to 44 years,WHITE,F,1 to 4.9 years,Resignation                   ,Voluntary,1,2,NULL,NULL,NULL,NULL,NULL,December,2016
12/31/2016,Public Health & Wellness,R,45 to 59 years,BLACK,F,Over 20,Normal Retirement             ,Retired,1,7,2,2,96,363,371,December,2016
1/31/2017,Corrections                   ,NULL,20 to 29 years,WHITE,M,5 to 9.9 years,Resignation                   ,Voluntary,1,6,NULL,NULL,NULL,NULL,NULL,January,2017
2/28/2017,Economic Development ,R,45 to 59 years,WHITE,M,10 to 14.9 years,Resignation                   ,Voluntary,1,1,2,2,70,354,360,February,2017
2/28/2017,Library,R,20 to 29 years,WHITE,M,1 to 4.9 years,Resignation                   ,Voluntary,1,6,23,25,70,354,360,February,2017
2/28/2017,Louisville Metro EMS,R,30 to 44 years,UNKNOWN,M,Under 1 year,Resignation - DO NOT REHIRE,Voluntary,1,5,4,4,70,354,360,February,2017
2/28/2017,Metro Animal Services         ,R,20 to 29 years,WHITE,F,1 to 4.9 years,Resignation                   ,Voluntary,1,1,1,1,70,354,360,February,2017
3/31/2017,Develop Louisville,R,30 to 44 years,UNKNOWN,F,1 to 4.9 years,Resignation                   ,Voluntary,1,1,6,6,83,359,364,March,2017
3/31/2017,Metro Police,R,20 to 29 years,UNKNOWN,F,1 to 4.9 years,Resignation                   ,Voluntary,1,10,82,82,83,359,364,March,2017
4/30/2017,Develop Louisville,R,45 to 59 years,WHITE,F,Over 20,Failure to Return from Leave  ,Voluntary,1,3,6,6,83,361,366,April,2017
4/30/2017,Emergency Mgt Agency/MetroSafe,R,20 to 29 years,UNKNOWN,F,Under 1 year,Resignation                   ,Voluntary,2,2,11,11,83,361,366,April,2017
4/30/2017,Metro Parks & Recreation,T,20 to 29 years,UNKNOWN,F,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,1,15,1,32,83,5,366,April,2017
5/31/2017,Public Health & Wellness,R,30 to 44 years,WHITE,F,5 to 9.9 years,Resignation                   ,Voluntary,1,2,2,2,75,358,364,May,2017
2/29/2016,Zoo,T,30 to 44 years,UNKNOWN,F,Under 1 year,End Seasonal Employment,Temp/Seasonal,2,3,1,25,61,5,405,February,2016
3/31/2016,Economic Development ,R,20 to 29 years,WHITE,F,5 to 9.9 years,Resignation                   ,Voluntary,1,1,2,2,68,400,404,March,2016
3/31/2016,Metro Parks & Recreation,R,20 to 29 years,WHITE,F,1 to 4.9 years,Resignation                   ,Voluntary,1,11,36,36,68,400,404,March,2016
4/30/2016,Louisville Metro EMS,R,20 to 29 years,UNKNOWN,M,Under 1 year,Resigned during Probation,Voluntary,1,5,4,4,92,401,409,April,2016
4/30/2016,Metro Parks & Recreation,R,20 to 29 years,UNKNOWN,M,1 to 4.9 years,Resignation                   ,Voluntary,1,13,36,39,92,401,409,April,2016
4/30/2016,Youth Detention Services      ,R,30 to 44 years,BLACK,F,10 to 14.9 years,Resignation                   ,Voluntary,1,4,3,3,92,401,409,April,2016
5/31/2016,Fire & Rescue,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,68,68,77,396,405,May,2016
5/31/2016,Louisville Metro EMS,NULL,20 to 29 years,UNKNOWN,M,Under 1 year,No Show - DO NOT REHIRE,Other,1,6,NULL,NULL,NULL,NULL,NULL,May,2016
5/31/2016,Metro Parks & Recreation,T,Under 20,UNKNOWN,M,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,1,13,3,38,77,9,405,May,2016
5/31/2016,Metro Police,R,30 to 44 years,WHITE,M,15 to 19.9 years,Resignation                   ,Voluntary,1,6,79,79,77,396,405,May,2016
6/30/2016,County Attorney               ,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2,2,84,395,404,June,2016
6/30/2016,Develop Louisville,R,20 to 29 years,WHITE,F,1 to 4.9 years,Resignation                   ,Voluntary,1,2,8,8,84,395,404,June,2016
6/30/2016,Zoo,T,20 to 29 years,UNKNOWN,F,Under 1 year,Resignation                   ,Voluntary,1,7,3,27,84,9,404,June,2016
7/31/2016,Belle of Louisville           ,NULL,20 to 29 years,BLACK,M,Under 1 year,End Seasonal Employment,Temp/Seasonal,1,5,NULL,NULL,NULL,NULL,NULL,July,2016
7/31/2016,Corrections                   ,NULL,45 to 59 years,ASIAN,M,Over 20,Normal Retirement             ,Retired,1,9,NULL,NULL,NULL,NULL,NULL,July,2016
7/31/2016,County Attorney               ,R,45 to 59 years,BLACK,F,10 to 14.9 years,Normal Retirement             ,Retired,1,2,2,2,176,397,407,July,2016
7/31/2016,Develop Louisville,R,60 to 74 years,WHITE,F,Over 20,Normal Retirement             ,Retired,1,6,8,8,176,397,407,July,2016
7/31/2016,Fire & Rescue,R,45 to 59 years,BLACK,M,Over 20,Normal Retirement             ,Retired,3,14,68,68,176,397,407,July,2016
7/31/2016,Metro Parks & Recreation,R,Over 74,WHITE,F,10 to 14.9 years,Resignation                   ,Voluntary,1,65,35,38,176,397,407,July,2016
7/31/2016,Metro Parks & Recreation,T,Under 20,WHITE,F,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,1,65,3,38,176,10,407,July,2016
7/31/2016,Zoo,T,30 to 44 years,WHITE,F,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,1,19,4,28,176,10,407,July,2016
8/31/2016,Corrections                   ,NULL,20 to 29 years,UNKNOWN,F,1 to 4.9 years,Resignation - DO NOT REHIRE,Voluntary,1,9,NULL,NULL,NULL,NULL,NULL,August,2016
8/31/2016,Library,R,Under 20,UNKNOWN,F,Under 1 year,Dismissed during Probation,Involuntary,1,6,28,30,175,377,385,August,2016
8/31/2016,Metro Animal Services         ,R,30 to 44 years,UNKNOWN,F,1 to 4.9 years,Resignation                   ,Voluntary,1,2,1,1,175,377,385,August,2016
8/31/2016,Metro Parks & Recreation,T,Under 20,BLACK,F,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,1,74,2,37,175,8,385,August,2016
8/31/2016,Metro Parks & Recreation,T,Under 20,UNKNOWN,M,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,1,74,2,37,175,8,385,August,2016
8/31/2016,OMB ,NULL,20 to 29 years,UNKNOWN,M,Under 1 year,End Temporary Employment      ,Temp/Seasonal,1,4,NULL,NULL,NULL,NULL,NULL,August,2016
9/30/2016,Belle of Louisville           ,R,20 to 29 years,UNKNOWN,M,1 to 4.9 years,Dismissed - Elig for Rehire,Involuntary,1,5,1,1,136,381,391,September,2016
9/30/2016,Corrections                   ,NULL,20 to 29 years,UNKNOWN,M,1 to 4.9 years,Resignation                   ,Voluntary,1,7,NULL,NULL,NULL,NULL,NULL,September,2016
9/30/2016,Economic Development ,R,30 to 44 years,WHITE,M,1 to 4.9 years,Resignation                   ,Voluntary,1,2,2,2,136,381,391,September,2016
9/30/2016,Zoo,T,20 to 29 years,UNKNOWN,F,Under 1 year,End Seasonal Employment,Temp/Seasonal,2,28,5,28,136,10,391,September,2016
10/31/2016,Community Services,NULL,30 to 44 years,BLACK,F,Under 1 year,No Show - DO NOT REHIRE,Other,1,3,NULL,NULL,NULL,NULL,NULL,October,2016
10/31/2016,Corrections                   ,NULL,20 to 29 years,UNKNOWN,M,1 to 4.9 years,Resignation - DO NOT REHIRE,Voluntary,2,3,NULL,NULL,NULL,NULL,NULL,October,2016
10/31/2016,Metro Parks & Recreation,NULL,20 to 29 years,UNKNOWN,M,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,1,33,NULL,NULL,NULL,NULL,NULL,October,2016
10/31/2016,Metro Parks & Recreation,NULL,30 to 44 years,UNKNOWN,F,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,1,33,NULL,NULL,NULL,NULL,NULL,October,2016
10/31/2016,Metro Parks & Recreation,NULL,60 to 74 years,UNKNOWN,M,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,1,33,NULL,NULL,NULL,NULL,NULL,October,2016
11/30/2016,Metro Parks & Recreation,T,20 to 29 years,WHITE,M,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,1,17,2,35,128,10,374,November,2016
12/31/2015,Belle of Louisville           ,NULL,20 to 29 years,WHITE,M,1 to 4.9 years,Resignation                   ,Voluntary,1,2,NULL,NULL,NULL,NULL,NULL,December,2015
12/31/2015,Fleet & Facilities,R,60 to 74 years,BLACK,F,Over 20,Normal Retirement             ,Retired,1,4,18,18,89,409,415,December,2015
12/31/2015,Library,T,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,31,89,6,415,December,2015
12/31/2015,Louisville Metro EMS,R,30 to 44 years,WHITE,M,5 to 9.9 years,Resignation - DO NOT REHIRE,Voluntary,1,4,4,4,89,409,415,December,2015
12/31/2015,Metro Parks & Recreation,T,Under 20,UNKNOWN,F,Under 1 year,End Seasonal Employment,Temp/Seasonal,2,18,2,40,89,6,415,December,2015
2/29/2016,Community Services,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,3,3,61,400,405,February,2016
2/29/2016,Library,T,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,30,61,5,405,February,2016
2/29/2016,Louisville Metro EMS,R,30 to 44 years,UNKNOWN,F,Under 1 year,Dismissed Probtn - NO REHIRE,Involuntary,1,8,4,4,61,400,405,February,2016
2/29/2016,Metro Parks & Recreation,T,60 to 74 years,UNKNOWN,M,Under 1 year,End Seasonal Employment,Temp/Seasonal,1,7,2,37,61,5,405,February,2016
2/29/2016,Metro Police,R,20 to 29 years,WHITE,M,1 to 4.9 years,Resignation                   ,Voluntary,1,12,80,80,61,400,405,February,2016
3/31/2016,PW&A ,R,45 to 59 years,UNKNOWN,F,Under 1 year,Resignation                   ,Voluntary,1,3,42,42,68,400,404,March,2016
3/31/2016,Waterfront Development Corp,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,4,5,68,400,404,March,2016
3/31/2016,Youth Detention Services      ,R,20 to 29 years,BLACK,F,1 to 4.9 years,Resignation                   ,Voluntary,1,2,2,2,68,400,404,March,2016
3/31/2016,Zoo,T,30 to 44 years,UNKNOWN,M,Under 1 year,End Seasonal Employment,Temp/Seasonal,1,6,2,26,68,4,404,March,2016
4/30/2016,Belle of Louisville           ,R,20 to 29 years,UNKNOWN,M,1 to 4.9 years,Resignation                   ,Voluntary,1,4,1,1,92,401,409,April,2016
4/30/2016,Develop Louisville,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,8,8,92,401,409,April,2016
4/30/2016,Louisville Metro EMS,NULL,20 to 29 years,UNKNOWN,M,Under 1 year,Resignation                   ,Voluntary,1,5,NULL,NULL,NULL,NULL,NULL,April,2016
4/30/2016,OMB ,R,30 to 44 years,UNKNOWN,F,1 to 4.9 years,Resignation                   ,Voluntary,1,2,14,14,92,401,409,April,2016
4/30/2016,Youth Detention Services      ,R,30 to 44 years,UNKNOWN,M,Under 1 year,Dismissed during Probation,Involuntary,1,4,3,3,92,401,409,April,2016
5/31/2016,County Attorney               ,R,45 to 59 years,WHITE,F,15 to 19.9 years,Normal Retirement             ,Retired,1,1,2,2,77,396,405,May,2016
5/31/2016,Human Resources,R,20 to 29 years,UNKNOWN,M,Under 1 year,Resignation                   ,Voluntary,1,2,3,3,77,396,405,May,2016
5/31/2016,Library,R,30 to 44 years,WHITE,M,1 to 4.9 years,Resignation                   ,Voluntary,1,2,28,30,77,396,405,May,2016
5/31/2016,Louisville Metro EMS,R,20 to 29 years,WHITE,M,1 to 4.9 years,Resignation                   ,Voluntary,2,6,4,4,77,396,405,May,2016
5/31/2016,Mayor's Office                ,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,6,6,77,396,405,May,2016
5/31/2016,Metro Parks & Recreation,T,Under 20,WHITE,M,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,1,13,3,38,77,9,405,May,2016
6/30/2016,Develop Louisville,R,45 to 59 years,BLACK,F,Under 1 year,Resignation                   ,Voluntary,1,2,8,8,84,395,404,June,2016
7/31/2016,Commonwealth Attorney         ,NULL,30 to 44 years,UNKNOWN,M,1 to 4.9 years,Resignation                   ,Voluntary,1,1,NULL,NULL,NULL,NULL,NULL,July,2016
7/31/2016,Corrections                   ,NULL,20 to 29 years,UNKNOWN,M,1 to 4.9 years,Resignation                   ,Voluntary,2,9,NULL,NULL,NULL,NULL,NULL,July,2016
7/31/2016,Develop Louisville,R,30 to 44 years,BLACK,F,5 to 9.9 years,Dismissed - DO NOT REHIRE,Involuntary,1,6,8,8,176,397,407,July,2016
7/31/2016,Metro Parks & Recreation,T,20 to 29 years,UNKNOWN,F,Under 1 year,End Seasonal Employment,Temp/Seasonal,6,65,3,38,176,10,407,July,2016
7/31/2016,Metro Parks & Recreation,T,60 to 74 years,WHITE,F,Over 20,Resignation - DO NOT REHIRE,Voluntary,1,65,3,38,176,10,407,July,2016
7/31/2016,Metro Parks & Recreation,T,Under 20,BLACK,M,Under 1 year,Resignation                   ,Voluntary,1,65,3,38,176,10,407,July,2016
7/31/2016,Zoo,T,20 to 29 years,UNKNOWN,F,Under 1 year,End Seasonal Employment,Temp/Seasonal,1,19,4,28,176,10,407,July,2016
8/31/2016,Metro Parks & Recreation,T,20 to 29 years,WHITE,M,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,3,74,2,37,175,8,385,August,2016
8/31/2016,Metro Parks & Recreation,T,45 to 59 years,BLACK,F,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,1,74,2,37,175,8,385,August,2016
9/30/2016,PW&A ,R,45 to 59 years,WHITE,M,Over 20,Normal Retirement             ,Retired,1,5,39,39,136,381,391,September,2016
10/31/2016,Belle of Louisville           ,NULL,20 to 29 years,UNKNOWN,F,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,1,22,NULL,NULL,NULL,NULL,NULL,October,2016
10/31/2015,PW&A ,R,30 to 44 years,WHITE,F,10 to 14.9 years,Dismissed - Elig for Rehire,Involuntary,1,5,45,45,200,422,429,October,2015
10/31/2015,Zoo,T,30 to 44 years,WHITE,F,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,2,91,4,29,200,7,429,October,2015
11/30/2015,Corrections                   ,NULL,30 to 44 years,WHITE,M,Over 20,Normal Retirement             ,Retired,1,9,NULL,NULL,NULL,NULL,NULL,November,2015
11/30/2015,Metro Parks & Recreation,T,Under 20,UNKNOWN,M,1 to 4.9 years,End Temporary Employment      ,Temp/Seasonal,1,23,1,40,119,6,422,November,2015
11/30/2015,Zoo,T,Over 74,WHITE,M,5 to 9.9 years,End Seasonal Employment,Temp/Seasonal,2,40,3,28,119,6,422,November,2015
12/31/2015,Louisville Metro EMS,R,20 to 29 years,WHITE,F,1 to 4.9 years,Resignation - DO NOT REHIRE,Voluntary,1,4,4,4,89,409,415,December,2015
12/31/2015,Youth Detention Services      ,R,45 to 59 years,BLACK,F,Over 20,Normal Retirement             ,Retired,1,6,1,1,89,409,415,December,2015
12/31/2015,Zoo,T,45 to 59 years,UNKNOWN,M,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,1,18,2,27,89,6,415,December,2015
1/31/2016,Louisville Metro Council      ,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,11,11,61,404,410,January,2016
1/31/2016,Metro Parks & Recreation,T,Under 20,WHITE,M,1 to 4.9 years,End Temporary Employment      ,Temp/Seasonal,1,10,2,40,61,6,410,January,2016
1/31/2016,Metro Police,R,30 to 44 years,WHITE,F,Over 20,Normal Retirement             ,Retired,1,12,81,81,61,404,410,January,2016
2/29/2016,Metro Police,R,45 to 59 years,BLACK,F,10 to 14.9 years,Normal Retirement             ,Retired,1,12,80,80,61,400,405,February,2016
3/31/2016,Metro Police,R,20 to 29 years,UNKNOWN,M,Under 1 year,Resignation                   ,Voluntary,1,8,79,79,68,400,404,March,2016
3/31/2016,Metro Police,R,45 to 59 years,WHITE,M,Over 20,Normal Retirement             ,Retired,2,8,79,79,68,400,404,March,2016
3/31/2016,OMB ,R,45 to 59 years,BLACK,F,Over 20,Normal Retirement             ,Retired,1,2,14,14,68,400,404,March,2016
3/31/2016,Zoo,T,45 to 59 years,UNKNOWN,F,Under 1 year,Resignation                   ,Voluntary,1,6,2,26,68,4,404,March,2016
4/30/2016,Fleet & Facilities,R,45 to 59 years,BLACK,M,10 to 14.9 years,Dismissed - DO NOT REHIRE,Involuntary,1,3,18,18,92,401,409,April,2016
5/31/2016,Community Services,R,30 to 44 years,BLACK,F,1 to 4.9 years,Resignation                   ,Voluntary,1,4,3,3,77,396,405,May,2016
5/31/2016,Metro Parks & Recreation,T,20 to 29 years,UNKNOWN,F,Under 1 year,End Seasonal Employment,Temp/Seasonal,1,13,3,38,77,9,405,May,2016
5/31/2016,Metro Parks & Recreation,T,45 to 59 years,BLACK,F,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,1,13,3,38,77,9,405,May,2016
6/30/2016,Fire & Rescue,R,30 to 44 years,WHITE,M,1 to 4.9 years,Resignation                   ,Voluntary,1,2,68,68,84,395,404,June,2016
6/30/2016,Youth Detention Services      ,R,20 to 29 years,UNKNOWN,F,Under 1 year,Dismissed during Probation,Involuntary,1,3,3,3,84,395,404,June,2016
7/31/2016,Metro Parks & Recreation,T,20 to 29 years,BLACK,M,Under 1 year,End Seasonal Employment,Temp/Seasonal,1,65,3,38,176,10,407,July,2016
7/31/2016,Metro Parks & Recreation,T,20 to 29 years,WHITE,M,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,2,65,3,38,176,10,407,July,2016
8/31/2016,Fire & Rescue,R,45 to 59 years,WHITE,M,Over 20,Normal Retirement             ,Retired,1,2,55,55,175,377,385,August,2016
8/31/2016,Metro Parks & Recreation,T,Under 20,BLACK,M,Under 1 year,End Seasonal Employment,Temp/Seasonal,1,74,2,37,175,8,385,August,2016
8/31/2016,Metro Parks & Recreation,T,Under 20,WHITE,M,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,2,74,2,37,175,8,385,August,2016
8/31/2016,Waterfront Development Corp,T,Under 20,UNKNOWN,F,Under 1 year,End Temporary Employment      ,Temp/Seasonal,1,2,1,5,175,8,385,August,2016
9/30/2016,Metro Police,R,30 to 44 years,BLACK,M,10 to 14.9 years,Resignation                   ,Voluntary,1,26,82,82,136,381,391,September,2016
9/30/2016,Parking Authority of River Cty,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,3,3,136,381,391,September,2016
9/30/2016,Youth Detention Services      ,R,30 to 44 years,BLACK,F,10 to 14.9 years,Resignation                   ,Voluntary,1,4,3,3,136,381,391,September,2016
10/31/2016,Belle of Louisville           ,NULL,60 to 74 years,UNKNOWN,F,Under 1 year,End Seasonal Employment,Temp/Seasonal,1,22,NULL,NULL,NULL,NULL,NULL,October,2016
10/31/2016,County Attorney               ,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2,2,176,368,375,October,2016
10/31/2016,PW&A ,R,45 to 59 years,BLACK,M,15 to 19.9 years,Normal Retirement             ,Retired,1,3,38,38,176,368,375,October,2016
10/31/2016,Zoo,T,45 to 59 years,UNKNOWN,M,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,2,71,4,26,176,7,375,October,2016
11/30/2016,Metro Parks & Recreation,R,Under 20,UNKNOWN,M,1 to 4.9 years,Resignation                   ,Voluntary,1,17,33,35,128,364,374,November,2016
5/31/2016,Community Services,NULL,45 to 59 years,UNKNOWN,F,Under 1 year,End Temporary Employment      ,Temp/Seasonal,2,4,NULL,NULL,NULL,NULL,NULL,May,2016
5/31/2016,Corrections                   ,NULL,30 to 44 years,UNKNOWN,M,Under 1 year,Resignation                   ,Voluntary,2,10,NULL,NULL,NULL,NULL,NULL,May,2016
5/31/2016,Economic Development ,R,20 to 29 years,BLACK,F,1 to 4.9 years,Resignation                   ,Voluntary,1,2,2,2,77,396,405,May,2016
5/31/2016,Metro Animal Services         ,NULL,30 to 44 years,WHITE,F,1 to 4.9 years,Resignation                   ,Voluntary,1,1,NULL,NULL,NULL,NULL,NULL,May,2016
5/31/2016,Metro Parks & Recreation,R,45 to 59 years,BLACK,F,15 to 19.9 years,Failure to Return from Leave  ,Voluntary,1,13,35,38,77,396,405,May,2016
5/31/2016,Youth Detention Services      ,R,45 to 59 years,UNKNOWN,M,Under 1 year,Resignation                   ,Voluntary,1,3,3,3,77,396,405,May,2016
