DEPT,BIWEEKLY_PAY_PERIOD_END_DATE,PARETO_TYPE,TOTAL_HOURS,TOTAL EMPLOYEE,TOTAL AVAL HOURS,LOST WORKTIME RATE
Economic Development ,8/3/2013,SICK,175.3,89,7120,0.02462
Economic Development ,8/3/2013,UNPAID ABSENCE,16,89,7120,0.002247
Economic Development ,8/17/2013,FMLA,176,89,7120,0.024719
Economic Development ,8/17/2013,SICK,112.8,89,7120,0.015842
Economic Development ,8/17/2013,UNPAID ABSENCE,56,89,7120,0.007865
Economic Development ,8/31/2013,FMLA,88,89,7120,0.012359
Economic Development ,8/31/2013,SICK,203.3,89,7120,0.028553
Economic Development ,8/31/2013,UNPAID ABSENCE,16,89,7120,0.002247
Economic Development ,9/14/2013,FMLA,16,88,7040,0.002272
Economic Development ,9/14/2013,FUNERAL,16,88,7040,0.002272
Economic Development ,9/14/2013,SICK,136.52,88,7040,0.019392
Economic Development ,9/14/2013,UNPAID ABSENCE,16,88,7040,0.002272
Economic Development ,9/28/2013,FUNERAL,24,88,7040,0.003409
Economic Development ,9/28/2013,SICK,132.3,88,7040,0.018792
Economic Development ,9/28/2013,UNPAID ABSENCE,16,88,7040,0.002272
Economic Development ,10/12/2013,FMLA,14,88,7040,0.001988
Economic Development ,10/12/2013,SICK,204.8,88,7040,0.02909
Economic Development ,10/12/2013,UNPAID ABSENCE,16,88,7040,0.002272
Economic Development ,10/26/2013,FMLA,10,88,7040,0.00142
Economic Development ,10/26/2013,SICK,151.1,88,7040,0.021463
Economic Development ,10/26/2013,UNPAID ABSENCE,16,88,7040,0.002272
Economic Development ,11/9/2013,FMLA,10.5,88,7040,0.001491
Economic Development ,11/9/2013,FURLOUGH,8,88,7040,0.001136
Economic Development ,11/9/2013,SICK,412,88,7040,0.058522
Economic Development ,11/9/2013,UNPAID ABSENCE,20.28,88,7040,0.00288
Economic Development ,11/23/2013,SICK,263.55,86,6880,0.038306
Economic Development ,11/23/2013,UNPAID ABSENCE,16,86,6880,0.002325
Economic Development ,12/7/2013,FMLA,62.6,86,6880,0.009098
Economic Development ,12/7/2013,SICK,144.8,86,6880,0.021046
Economic Development ,12/7/2013,UNPAID ABSENCE,16,86,6880,0.002325
Economic Development ,12/21/2013,FMLA,80,85,6800,0.011764
Economic Development ,12/21/2013,SICK,167.8,85,6800,0.024676
Economic Development ,12/21/2013,UNPAID ABSENCE,16,85,6800,0.002352
Economic Development ,1/4/2014,FMLA,72,85,6800,0.010588
Economic Development ,1/4/2014,SICK,434.1,85,6800,0.063838
Economic Development ,1/4/2014,UNPAID ABSENCE,16,85,6800,0.002352
Economic Development ,1/18/2014,SICK,234.85,84,6720,0.034947
Economic Development ,1/18/2014,UNPAID ABSENCE,35.65,84,6720,0.005305
Economic Development ,2/1/2014,FMLA,8,85,6800,0.001176
Economic Development ,2/1/2014,SICK,139.9,85,6800,0.020573
Economic Development ,2/1/2014,UNPAID ABSENCE,16,85,6800,0.002352
Economic Development ,2/15/2014,FUNERAL,208,85,6800,0.030588
Economic Development ,2/15/2014,SICK,193.5,85,6800,0.028455
Economic Development ,2/15/2014,UNPAID ABSENCE,16,85,6800,0.002352
Economic Development ,3/1/2014,FUNERAL,3.5,83,6640,0.000527
Economic Development ,3/1/2014,SICK,182.9,83,6640,0.027545
Economic Development ,3/1/2014,UNPAID ABSENCE,16,83,6640,0.002409
Economic Development ,3/15/2014,FMLA,20.5,83,6640,0.003087
Economic Development ,3/15/2014,FUNERAL,8,83,6640,0.001204
Economic Development ,3/15/2014,SICK,296.3,83,6640,0.044623
Economic Development ,3/15/2014,UNPAID ABSENCE,16,83,6640,0.002409
Economic Development ,3/29/2014,FMLA,72,83,6640,0.010843
Economic Development ,3/29/2014,SICK,195.7,83,6640,0.029472
Economic Development ,3/29/2014,UNPAID ABSENCE,16,83,6640,0.002409
Economic Development ,4/12/2014,FMLA,80,82,6560,0.012195
Economic Development ,4/12/2014,SICK,180,82,6560,0.027439
Economic Development ,4/12/2014,UNPAID ABSENCE,16,82,6560,0.002439
Economic Development ,4/26/2014,FMLA,32,82,6560,0.004878
Economic Development ,4/26/2014,SICK,132,82,6560,0.020121
Economic Development ,4/26/2014,UNPAID ABSENCE,16,82,6560,0.002439
Economic Development ,5/10/2014,FMLA,197.2,82,6560,0.03006
Economic Development ,5/10/2014,SICK,100.52,82,6560,0.015323
Economic Development ,5/10/2014,UNPAID ABSENCE,16,82,6560,0.002439
Economic Development ,5/24/2014,FMLA,346.17,78,6240,0.055475
Economic Development ,5/24/2014,FURLOUGH,16,78,6240,0.002564
Economic Development ,5/24/2014,SICK,101.85,78,6240,0.016322
Economic Development ,5/24/2014,UNPAID ABSENCE,16,78,6240,0.002564
Economic Development ,6/7/2014,FMLA,159.7,78,6240,0.025592
Economic Development ,6/7/2014,FUNERAL,11,78,6240,0.001762
Economic Development ,6/7/2014,SICK,157.6,78,6240,0.025256
Economic Development ,6/7/2014,UNPAID ABSENCE,18.32,78,6240,0.002935
Economic Development ,6/21/2014,FMLA,163.8,78,6240,0.02625
Economic Development ,6/21/2014,FUNERAL,80,78,6240,0.01282
Economic Development ,6/21/2014,SICK,44.3,78,6240,0.007099
Economic Development ,6/21/2014,UNPAID ABSENCE,16,78,6240,0.002564
Economic Development ,7/5/2014,FMLA,133.7,79,6320,0.021155
Economic Development ,7/5/2014,SICK,77.55,79,6320,0.01227
Economic Development ,7/5/2014,UNPAID ABSENCE,16,79,6320,0.002531
Economic Development ,7/19/2014,FMLA,153.4,78,6240,0.024583
Economic Development ,7/19/2014,SICK,95.7,78,6240,0.015336
Economic Development ,7/19/2014,UNPAID ABSENCE,16,78,6240,0.002564
Economic Development ,8/2/2014,FMLA,141.8,77,6160,0.023019
Economic Development ,8/2/2014,SICK,72.53,77,6160,0.011774
Economic Development ,8/2/2014,UNPAID ABSENCE,39.44,77,6160,0.006402
Economic Development ,8/16/2014,FMLA,192.5,77,6160,0.03125
Economic Development ,8/16/2014,SICK,120.5,77,6160,0.019561
Economic Development ,8/16/2014,UNPAID ABSENCE,16,77,6160,0.002597
Economic Development ,8/30/2014,FMLA,65.1,78,6240,0.010432
Economic Development ,8/30/2014,SICK,144.93,78,6240,0.023225
Economic Development ,8/30/2014,UNPAID ABSENCE,54.97,78,6240,0.008809
Economic Development ,9/13/2014,FMLA,73,78,6240,0.011698
Economic Development ,9/13/2014,SICK,66.12,78,6240,0.010596
Economic Development ,9/13/2014,UNPAID ABSENCE,16,78,6240,0.002564
Economic Development ,9/27/2014,FMLA,100,79,6320,0.015822
Economic Development ,9/27/2014,SICK,73.38,79,6320,0.01161
Economic Development ,9/27/2014,UNPAID ABSENCE,16,79,6320,0.002531
Economic Development ,10/11/2014,FMLA,18,82,6560,0.002743
Economic Development ,10/11/2014,FUNERAL,24,82,6560,0.003658
Economic Development ,10/11/2014,SICK,102.05,82,6560,0.015556
Economic Development ,10/11/2014,UNPAID ABSENCE,44,82,6560,0.006707
Economic Development ,10/25/2014,SICK,203.25,81,6480,0.031365
Economic Development ,10/25/2014,UNPAID ABSENCE,98.82,81,6480,0.01525
Economic Development ,11/8/2014,SICK,131.4,80,6400,0.020531
Economic Development ,11/8/2014,UNPAID ABSENCE,48.13,80,6400,0.00752
Economic Development ,11/22/2014,SICK,197.95,82,6560,0.030175
Economic Development ,11/22/2014,UNPAID ABSENCE,79.07,82,6560,0.012053
Economic Development ,12/6/2014,SICK,127.95,82,6560,0.019504
Economic Development ,12/6/2014,UNPAID ABSENCE,38.5,82,6560,0.005868
Economic Development ,12/20/2014,SICK,153.73,80,6400,0.02402
Economic Development ,12/20/2014,UNPAID ABSENCE,40.93,80,6400,0.006395
Economic Development ,1/3/2015,SICK,112.26,80,6400,0.01754
Economic Development ,1/3/2015,UNPAID ABSENCE,60.8,80,6400,0.0095
Economic Development ,1/17/2015,FUNERAL,8,80,6400,0.00125
Economic Development ,1/17/2015,SICK,132.35,80,6400,0.020679
Economic Development ,1/17/2015,UNPAID ABSENCE,28,80,6400,0.004375
Economic Development ,1/31/2015,SICK,182.5,81,6480,0.028163
Economic Development ,1/31/2015,UNPAID ABSENCE,21,81,6480,0.00324
Economic Development ,2/14/2015,SICK,249.88,82,6560,0.038091
Economic Development ,2/14/2015,UNPAID ABSENCE,75.84,82,6560,0.01156
Economic Development ,2/28/2015,FMLA,40,80,6400,0.00625
Economic Development ,2/28/2015,SICK,107.4,80,6400,0.016781
Economic Development ,2/28/2015,UNPAID ABSENCE,34.34,80,6400,0.005365
Economic Development ,3/14/2015,FMLA,72,81,6480,0.011111
Economic Development ,3/14/2015,FUNERAL,24,81,6480,0.003703
Economic Development ,3/14/2015,SICK,141.4,81,6480,0.02182
Economic Development ,3/14/2015,UNPAID ABSENCE,102.4,81,6480,0.015802
Economic Development ,3/28/2015,FMLA,40,79,6320,0.006329
Economic Development ,3/28/2015,FUNERAL,16,79,6320,0.002531
Economic Development ,3/28/2015,SICK,46.1,79,6320,0.007294
Economic Development ,3/28/2015,UNPAID ABSENCE,16,79,6320,0.002531
Economic Development ,4/11/2015,SICK,123.05,80,6400,0.019226
Economic Development ,4/11/2015,UNPAID ABSENCE,20.25,80,6400,0.003164
Economic Development ,4/25/2015,FMLA,80,80,6400,0.0125
Economic Development ,4/25/2015,FUNERAL,16,80,6400,0.0025
Economic Development ,4/25/2015,SICK,73,80,6400,0.011406
Economic Development ,4/25/2015,UNPAID ABSENCE,16,80,6400,0.0025
Economic Development ,5/9/2015,FMLA,24,81,6480,0.003703
Economic Development ,5/9/2015,FUNERAL,24,81,6480,0.003703
Economic Development ,5/9/2015,SICK,92.7,81,6480,0.014305
Economic Development ,5/9/2015,UNPAID ABSENCE,16,81,6480,0.002469
Economic Development ,5/23/2015,FUNERAL,216,83,6624,0.032608
Economic Development ,5/23/2015,JURY DUTY,30.9,83,6624,0.004664
Economic Development ,5/23/2015,SICK,99.4,83,6624,0.015006
Economic Development ,5/23/2015,UNPAID ABSENCE,32.2,83,6624,0.004861
Economic Development ,6/6/2015,FUNERAL,16,84,6696,0.002389
Economic Development ,6/6/2015,JURY DUTY,72,84,6696,0.010752
Economic Development ,6/6/2015,SICK,115.4,84,6696,0.017234
Economic Development ,6/6/2015,UNPAID ABSENCE,32,84,6696,0.004778
Economic Development ,6/20/2015,FMLA,4.7,83,6616,0.00071
Economic Development ,6/20/2015,FUNERAL,64,83,6616,0.009673
Economic Development ,6/20/2015,SICK,91.15,83,6616,0.013777
Economic Development ,6/20/2015,SUSPENSION,40,83,6616,0.006045
Economic Development ,6/20/2015,UNPAID ABSENCE,28,83,6616,0.004232
Economic Development ,7/4/2015,FMLA,32.4,83,6616,0.004897
Economic Development ,7/4/2015,SICK,48.5,83,6616,0.00733
Economic Development ,7/4/2015,UNPAID ABSENCE,40,83,6616,0.006045
Economic Development ,7/18/2015,FMLA,88,81,6456,0.01363
Economic Development ,7/18/2015,SICK,55.2,81,6456,0.00855
Economic Development ,7/18/2015,UNPAID ABSENCE,32,81,6456,0.004956
Economic Development ,8/1/2015,FMLA,103,81,6456,0.015954
Economic Development ,8/1/2015,SICK,90.2,81,6456,0.013971
Economic Development ,8/1/2015,UNPAID ABSENCE,32,81,6456,0.004956
Economic Development ,8/15/2015,FMLA,80,79,6304,0.01269
Economic Development ,8/15/2015,FUNERAL,24,79,6304,0.003807
Economic Development ,8/15/2015,SICK,91.9,79,6304,0.014578
Economic Development ,8/15/2015,UNPAID ABSENCE,32,79,6304,0.005076
Economic Development ,8/29/2015,FMLA,80,78,6240,0.01282
Economic Development ,8/29/2015,SICK,107.8,78,6240,0.017275
Economic Development ,8/29/2015,UNPAID ABSENCE,16,78,6240,0.002564
Economic Development ,9/12/2015,FMLA,80,78,6240,0.01282
Economic Development ,9/12/2015,SICK,87,78,6240,0.013942
Economic Development ,9/12/2015,UNPAID ABSENCE,16,78,6240,0.002564
Economic Development ,9/26/2015,FMLA,48,77,6160,0.007792
Economic Development ,9/26/2015,MEDICAL,24,77,6160,0.003896
Economic Development ,9/26/2015,SICK,200.1,77,6160,0.032483
Economic Development ,9/26/2015,UNPAID ABSENCE,16,77,6160,0.002597
Economic Development ,10/10/2015,MEDICAL,80,77,6160,0.012987
Economic Development ,10/10/2015,SICK,341,77,6160,0.055357
Economic Development ,10/10/2015,UNPAID ABSENCE,16,77,6160,0.002597
Economic Development ,10/24/2015,FMLA,15.1,77,6160,0.002451
Economic Development ,10/24/2015,MEDICAL,80,77,6160,0.012987
Economic Development ,10/24/2015,SICK,123.5,77,6160,0.020048
Economic Development ,10/24/2015,UNPAID ABSENCE,24,77,6160,0.003896
Economic Development ,11/7/2015,FMLA,104,76,6080,0.017105
Economic Development ,11/7/2015,FUNERAL,24,76,6080,0.003947
Economic Development ,11/7/2015,MEDICAL,62,76,6080,0.010197
Economic Development ,11/7/2015,SICK,143.2,76,6080,0.023552
Economic Development ,11/7/2015,UNPAID ABSENCE,28.17,76,6080,0.004633
Economic Development ,11/21/2015,FMLA,120,75,6000,0.02
Economic Development ,11/21/2015,MEDICAL,1.7,75,6000,0.000283
Economic Development ,11/21/2015,SICK,143.3,75,6000,0.023883
Economic Development ,11/21/2015,UNPAID ABSENCE,16,75,6000,0.002666
Economic Development ,12/5/2015,FMLA,96,75,6000,0.016
Economic Development ,12/5/2015,SICK,146.1,75,6000,0.02435
Economic Development ,12/5/2015,UNPAID ABSENCE,16,75,6000,0.002666
Economic Development ,12/19/2015,FMLA,165,75,6000,0.0275
Economic Development ,12/19/2015,FUNERAL,8,75,6000,0.001333
Economic Development ,12/19/2015,SICK,163.1,75,6000,0.027183
Economic Development ,12/19/2015,UNPAID ABSENCE,18.9,75,6000,0.00315
Economic Development ,1/2/2016,FMLA,200,75,6000,0.033333
Economic Development ,1/2/2016,SICK,95.2,75,6000,0.015866
Economic Development ,1/2/2016,UNPAID ABSENCE,16,75,6000,0.002666
Economic Development ,1/16/2016,FMLA,117.5,76,6080,0.019325
Economic Development ,1/16/2016,SICK,437.3,76,6080,0.071924
Economic Development ,1/30/2016,FMLA,80,74,5920,0.013513
Economic Development ,1/30/2016,FUNERAL,24,74,5920,0.004054
Economic Development ,1/30/2016,SICK,98.7,74,5920,0.016672
Economic Development ,1/30/2016,UNPAID ABSENCE,12.3,74,5920,0.002077
Economic Development ,2/13/2016,FMLA,107,76,6080,0.017598
Economic Development ,2/13/2016,SICK,136.4,76,6080,0.022434
Economic Development ,2/13/2016,UNPAID ABSENCE,23.5,76,6080,0.003865
Economic Development ,2/27/2016,FMLA,20.5,76,6080,0.003371
Economic Development ,2/27/2016,FUNERAL,16,76,6080,0.002631
Economic Development ,2/27/2016,SICK,214.7,76,6080,0.035312
Economic Development ,3/12/2016,FMLA,24,76,6080,0.003947
Economic Development ,3/12/2016,FUNERAL,8,76,6080,0.001315
Economic Development ,3/12/2016,SICK,144.6,76,6080,0.023782
Economic Development ,3/26/2016,FMLA,67.7,76,6080,0.011134
Economic Development ,3/26/2016,SICK,227.1,76,6080,0.037351
Economic Development ,4/9/2016,FMLA,74,76,6080,0.012171
Economic Development ,4/9/2016,SICK,85.7,76,6080,0.014095
Economic Development ,4/23/2016,FMLA,56.2,77,6160,0.009123
Economic Development ,4/23/2016,FUNERAL,48,77,6160,0.007792
Economic Development ,4/23/2016,SICK,80,77,6160,0.012987
Economic Development ,5/7/2016,FMLA,35.1,77,6160,0.005698
Economic Development ,5/7/2016,FUNERAL,24,77,6160,0.003896
Economic Development ,5/7/2016,SICK,72.7,77,6160,0.011801
Economic Development ,5/21/2016,FMLA,14.5,76,6080,0.002384
Economic Development ,5/21/2016,SICK,145.3,76,6080,0.023898
Economic Development ,6/4/2016,FUNERAL,16,75,6000,0.002666
Economic Development ,6/4/2016,SICK,110.5,75,6000,0.018416
Economic Development ,6/18/2016,FMLA,8,75,6000,0.001333
Economic Development ,6/18/2016,FUNERAL,71,75,6000,0.011833
Economic Development ,6/18/2016,SICK,88.5,75,6000,0.01475
Economic Development ,7/2/2016,SICK,111.4,75,6000,0.018566
Economic Development ,7/16/2016,FMLA,1.5,73,5840,0.000256
Economic Development ,7/16/2016,FUNERAL,16,73,5840,0.002739
Economic Development ,7/16/2016,SICK,227.9,73,5840,0.039023
Economic Development ,7/30/2016,FMLA,0.9,73,5840,0.000154
Economic Development ,7/30/2016,SICK,66.9,73,5840,0.011455
Economic Development ,8/13/2016,JURY DUTY,31,71,5680,0.005457
Economic Development ,8/13/2016,SICK,252.3,71,5680,0.044419
Economic Development ,8/13/2016,SUSPENSION,8,71,5680,0.001408
Economic Development ,8/27/2016,FMLA,1.8,71,5680,0.000316
Economic Development ,8/27/2016,FUNERAL,8,71,5680,0.001408
Economic Development ,8/27/2016,SICK,99,71,5680,0.017429
Economic Development ,8/27/2016,SUSPENSION,32,71,5680,0.005633
Economic Development ,9/10/2016,SICK,64.3,70,5600,0.011482
Economic Development ,9/24/2016,SICK,101.7,71,5680,0.017904
Economic Development ,10/8/2016,FMLA,44.8,70,5600,0.008
Economic Development ,10/8/2016,SICK,352.9,70,5600,0.063017
Economic Development ,10/22/2016,FMLA,80,69,5520,0.014492
Economic Development ,10/22/2016,FUNERAL,48,69,5520,0.008695
Economic Development ,10/22/2016,SICK,89.4,69,5520,0.016195
Economic Development ,11/5/2016,FMLA,80,71,5680,0.014084
Economic Development ,11/5/2016,FUNERAL,16,71,5680,0.002816
Economic Development ,11/5/2016,SICK,139.7,71,5680,0.024595
Economic Development ,11/19/2016,FMLA,80,69,5520,0.014492
Economic Development ,11/19/2016,SICK,128.7,69,5520,0.023315
Economic Development ,12/3/2016,FMLA,60,70,5600,0.010714
Economic Development ,12/3/2016,FUNERAL,24,70,5600,0.004285
Economic Development ,12/3/2016,SICK,136.5,70,5600,0.024375
Economic Development ,12/17/2016,FMLA,55.3,70,5600,0.009875
Economic Development ,12/17/2016,SICK,117.6,70,5600,0.021
Economic Development ,12/31/2016,FMLA,51.6,70,5600,0.009214
Economic Development ,12/31/2016,SICK,64.55,70,5600,0.011526
Economic Development ,12/31/2016,UNPAID ABSENCE,2.03,70,5600,0.000362
Economic Development ,1/14/2017,FMLA,128,71,5680,0.022535
Economic Development ,1/14/2017,FUNERAL,168,71,5680,0.029577
Economic Development ,1/14/2017,SICK,295.8,71,5680,0.052077
Economic Development ,1/14/2017,UNPAID ABSENCE,5.92,71,5680,0.001042
Economic Development ,1/28/2017,FMLA,46.8,69,5520,0.008478
Economic Development ,1/28/2017,SICK,54.9,69,5520,0.009945
Economic Development ,1/28/2017,UNPAID ABSENCE,32,69,5520,0.005797
Economic Development ,2/11/2017,FMLA,35.7,70,5600,0.006375
Economic Development ,2/11/2017,FUNERAL,24,70,5600,0.004285
Economic Development ,2/11/2017,SICK,221.7,70,5600,0.039589
Economic Development ,2/25/2017,FMLA,19.8,71,5680,0.003485
Economic Development ,2/25/2017,SICK,253.3,71,5680,0.044595
Economic Development ,3/11/2017,FMLA,17.7,70,5600,0.00316
Economic Development ,3/11/2017,SICK,181.4,70,5600,0.032392
Economic Development ,3/25/2017,FUNERAL,8,69,5520,0.001449
Economic Development ,3/25/2017,SICK,172.1,69,5520,0.031177
Economic Development ,4/8/2017,FMLA,2.3,71,5680,0.000404
Economic Development ,4/8/2017,SICK,151.3,71,5680,0.026637
Economic Development ,4/22/2017,FMLA,2,72,5760,0.000347
Economic Development ,4/22/2017,SICK,108.2,72,5760,0.018784
Economic Development ,5/6/2017,FMLA,25.7,72,5760,0.004461
Economic Development ,5/6/2017,SICK,386.9,72,5760,0.06717
Economic Development ,5/20/2017,FMLA,80,73,5840,0.013698
Economic Development ,5/20/2017,SICK,194.2,73,5840,0.033253
Economic Development ,5/20/2017,UNPAID ABSENCE,43.66,73,5840,0.007476
Economic Development ,6/3/2017,FMLA,104,73,5840,0.017808
Economic Development ,6/3/2017,FUNERAL,16,73,5840,0.002739
Economic Development ,6/3/2017,SICK,190.6,73,5840,0.032636
Economic Development ,6/3/2017,UNPAID ABSENCE,8,73,5840,0.001369
Economic Development ,6/17/2017,FMLA,26,74,5920,0.004391
Economic Development ,6/17/2017,FUNERAL,32,74,5920,0.005405
Economic Development ,6/17/2017,SICK,85.5,74,5920,0.014442
Economic Development ,7/1/2017,FUNERAL,8,77,6160,0.001298
Economic Development ,7/1/2017,SICK,90.26,77,6160,0.014652
Economic Development ,7/15/2017,FUNERAL,8,77,6160,0.001298
Economic Development ,7/15/2017,SICK,105.6,77,6160,0.017142
Economic Development ,7/29/2017,FUNERAL,24,77,6160,0.003896
Economic Development ,7/29/2017,SICK,96,77,6160,0.015584
Economic Development ,8/12/2017,FMLA,85.6,77,6160,0.013896
Economic Development ,8/12/2017,SICK,136.5,77,6160,0.022159
Economic Development ,8/26/2017,FMLA,160,75,6000,0.026666
Economic Development ,8/26/2017,MILITARY,40,75,6000,0.006666
Economic Development ,8/26/2017,SICK,87.6,75,6000,0.0146
Economic Development ,9/9/2017,FMLA,73.6,76,6080,0.012105
Economic Development ,9/9/2017,FUNERAL,16,76,6080,0.002631
Economic Development ,9/9/2017,SICK,63.5,76,6080,0.010444
Economic Development ,9/9/2017,UNPAID ABSENCE,54.3,76,6080,0.00893
Economic Development ,9/23/2017,FMLA,80,74,5920,0.013513
Economic Development ,9/23/2017,FUNERAL,8,74,5920,0.001351
Economic Development ,9/23/2017,MILITARY,80,74,5920,0.013513
Economic Development ,9/23/2017,SICK,69.86,74,5920,0.0118
Economic Development ,10/7/2017,FMLA,80,72,5760,0.013888
Economic Development ,10/7/2017,MILITARY,80,72,5760,0.013888
Economic Development ,10/7/2017,SICK,98.9,72,5760,0.01717
Economic Development ,10/21/2017,FMLA,85.5,71,5680,0.015052
Economic Development ,10/21/2017,MILITARY,80,71,5680,0.014084
Economic Development ,10/21/2017,SICK,83.7,71,5680,0.014735
Economic Development ,11/4/2017,FMLA,58.9,72,5760,0.010225
Economic Development ,11/4/2017,MILITARY,80,72,5760,0.013888
Economic Development ,11/4/2017,SICK,123.1,72,5760,0.021371
Economic Development ,11/18/2017,FMLA,0.8,72,5760,0.000138
Economic Development ,11/18/2017,MILITARY,64,72,5760,0.011111
Economic Development ,11/18/2017,SICK,51.3,72,5760,0.008906
Economic Development ,12/2/2017,FMLA,2.3,72,5760,0.000399
Economic Development ,12/2/2017,FUNERAL,24,72,5760,0.004166
Economic Development ,12/2/2017,MILITARY,80,72,5760,0.013888
Economic Development ,12/2/2017,SICK,116.4,72,5760,0.020208
Economic Development ,12/16/2017,FUNERAL,8,72,5760,0.001388
Economic Development ,12/16/2017,MILITARY,80,72,5760,0.013888
Economic Development ,12/16/2017,SICK,148.5,72,5760,0.025781
Economic Development ,12/30/2017,FUNERAL,24,72,5760,0.004166
Economic Development ,12/30/2017,MILITARY,48,72,5760,0.008333
Economic Development ,12/30/2017,SICK,55,72,5760,0.009548
Economic Development ,1/13/2018,MILITARY,80,72,5760,0.013888
Economic Development ,1/13/2018,SICK,69,72,5760,0.011979
Economic Development ,1/27/2018,MILITARY,80,72,5760,0.013888
Economic Development ,1/27/2018,SICK,136.3,72,5760,0.023663
Economic Development ,2/10/2018,FUNERAL,24,73,5840,0.004109
Economic Development ,2/10/2018,MILITARY,80,73,5840,0.013698
Economic Development ,2/10/2018,SICK,124.1,73,5840,0.02125
Economic Development ,2/24/2018,MILITARY,80,73,5840,0.013698
Economic Development ,2/24/2018,SICK,101.53,73,5840,0.017385
Economic Development ,3/10/2018,FMLA,4,72,5760,0.000694
Economic Development ,3/10/2018,FUNERAL,32,72,5760,0.005555
Economic Development ,3/10/2018,MILITARY,80,72,5760,0.013888
Economic Development ,3/10/2018,SICK,134.9,72,5760,0.02342
Economic Development ,3/24/2018,FMLA,12,72,5760,0.002083
Economic Development ,3/24/2018,MILITARY,80,72,5760,0.013888
Economic Development ,3/24/2018,SICK,112.2,72,5760,0.019479
Economic Development ,4/7/2018,FMLA,78.7,72,5760,0.013663
Economic Development ,4/7/2018,FUNERAL,24,72,5760,0.004166
Economic Development ,4/7/2018,MILITARY,80,72,5760,0.013888
Economic Development ,4/7/2018,SICK,54.8,72,5760,0.009513
Economic Development ,4/21/2018,FMLA,87.8,72,5760,0.015243
Economic Development ,4/21/2018,MILITARY,80,72,5760,0.013888
Economic Development ,4/21/2018,SICK,77,72,5760,0.013368
Economic Development ,4/21/2018,UNPAID ABSENCE,16,72,5760,0.002777
Economic Development ,5/5/2018,FMLA,32,71,5680,0.005633
Economic Development ,5/5/2018,MILITARY,80,71,5680,0.014084
Economic Development ,5/5/2018,SICK,86.7,71,5680,0.015264
Economic Development ,5/5/2018,UNPAID ABSENCE,16,71,5680,0.002816
Economic Development ,5/19/2018,FMLA,16,70,5600,0.002857
Economic Development ,5/19/2018,MILITARY,80,70,5600,0.014285
Economic Development ,5/19/2018,SICK,88.4,70,5600,0.015785
Economic Development ,6/2/2018,FMLA,72,71,5680,0.012676
Economic Development ,6/2/2018,MILITARY,80,71,5680,0.014084
Economic Development ,6/2/2018,SICK,64,71,5680,0.011267
Economic Development ,6/16/2018,FMLA,80,71,5680,0.014084
Economic Development ,6/16/2018,FUNERAL,24,71,5680,0.004225
Economic Development ,6/16/2018,MILITARY,80,71,5680,0.014084
Economic Development ,6/16/2018,SICK,121.8,71,5680,0.021443
Economic Development ,6/30/2018,FMLA,80,71,5680,0.014084
Economic Development ,6/30/2018,FUNERAL,8,71,5680,0.001408
Economic Development ,6/30/2018,MILITARY,80,71,5680,0.014084
Economic Development ,6/30/2018,SICK,98.6,71,5680,0.017359
Economic Development ,6/30/2018,SUSPENSION,32,71,5680,0.005633
Economic Development ,6/30/2018,UNPAID ABSENCE,26.72,71,5680,0.004704
Economic Development ,7/14/2018,FMLA,32,71,5680,0.005633
Economic Development ,7/14/2018,MILITARY,80,71,5680,0.014084
Economic Development ,7/14/2018,SICK,62.5,71,5680,0.011003
Economic Development ,7/28/2018,MILITARY,80,71,5680,0.014084
Economic Development ,7/28/2018,SICK,153.6,71,5680,0.027042
Economic Development ,7/28/2018,UNPAID ABSENCE,0.5,71,5680,0.000088
Economic Development ,8/11/2018,FUNERAL,24,73,5840,0.004109
Economic Development ,8/11/2018,MILITARY,80,73,5840,0.013698
Economic Development ,8/11/2018,SICK,147.4,73,5840,0.025239
Economic Development ,8/25/2018,MILITARY,80,72,5760,0.013888
Economic Development ,8/25/2018,SICK,63.7,72,5760,0.011059
Economic Development ,9/8/2018,FUNERAL,24,72,5760,0.004166
Economic Development ,9/8/2018,MILITARY,80,72,5760,0.013888
Economic Development ,9/8/2018,SICK,131.7,72,5760,0.022864
Economic Development ,9/22/2018,FMLA,3.2,72,5760,0.000555
Economic Development ,9/22/2018,FUNERAL,24,72,5760,0.004166
Economic Development ,9/22/2018,MILITARY,80,72,5760,0.013888
Economic Development ,9/22/2018,SICK,105.2,72,5760,0.018263
Economic Development ,10/6/2018,FMLA,4.4,72,5760,0.000763
Economic Development ,10/6/2018,FUNERAL,16,72,5760,0.002777
Economic Development ,10/6/2018,MILITARY,80,72,5760,0.013888
Economic Development ,10/6/2018,SICK,95.75,72,5760,0.016623
Economic Development ,10/20/2018,FMLA,8.6,72,5760,0.001493
Economic Development ,10/20/2018,FUNERAL,24,72,5760,0.004166
Economic Development ,10/20/2018,MILITARY,80,72,5760,0.013888
Economic Development ,10/20/2018,SICK,151.8,72,5760,0.026354
Economic Development ,11/3/2018,FMLA,3,73,5840,0.000513
Economic Development ,11/3/2018,FUNERAL,24,73,5840,0.004109
Economic Development ,11/3/2018,MILITARY,80,73,5840,0.013698
Economic Development ,11/3/2018,SICK,150.2,73,5840,0.025719
Economic Development ,11/3/2018,UNPAID ABSENCE,25.3,73,5840,0.004332
Economic Development ,11/17/2018,FMLA,0.8,74,5920,0.000135
Economic Development ,11/17/2018,MILITARY,80,74,5920,0.013513
